ticker,seed,mode,kind,step,path,depth,check,violations,tests,max_violation
GS,20260429,frozen,put,0,1,201,bounds,0,11,0.0
GS,20260429,frozen,put,0,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,put,0,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,put,0,1,201,convexity,0,9,0.0
GS,20260429,frozen,put,0,1,401,bounds,0,11,0.0
GS,20260429,frozen,put,0,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,put,0,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,put,0,1,401,convexity,0,9,0.0
GS,20260429,frozen,call,0,1,201,bounds,0,11,0.0
GS,20260429,frozen,call,0,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,call,0,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,call,0,1,201,convexity,0,9,0.0
GS,20260429,frozen,call,0,1,401,bounds,0,11,0.0
GS,20260429,frozen,call,0,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,call,0,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,call,0,1,401,convexity,0,9,0.0
GS,20260429,frozen,put,10,1,201,bounds,0,11,0.0
GS,20260429,frozen,put,10,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,put,10,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,put,10,1,201,convexity,0,9,0.0
GS,20260429,frozen,put,10,1,401,bounds,0,11,0.0
GS,20260429,frozen,put,10,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,put,10,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,put,10,1,401,convexity,0,9,0.0
GS,20260429,frozen,call,10,1,201,bounds,0,11,0.0
GS,20260429,frozen,call,10,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,call,10,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,call,10,1,201,convexity,0,9,0.0
GS,20260429,frozen,call,10,1,401,bounds,0,11,0.0
GS,20260429,frozen,call,10,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,call,10,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,call,10,1,401,convexity,0,9,0.0
GS,20260429,frozen,put,20,1,201,bounds,0,11,0.0
GS,20260429,frozen,put,20,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,put,20,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,put,20,1,201,convexity,0,9,2.842170943040401e-14
GS,20260429,frozen,put,20,1,401,bounds,0,11,0.0
GS,20260429,frozen,put,20,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,put,20,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,put,20,1,401,convexity,0,9,2.842170943040401e-14
GS,20260429,frozen,call,20,1,201,bounds,0,11,0.0
GS,20260429,frozen,call,20,1,201,monotonicity,0,10,0.0
GS,20260429,frozen,call,20,1,201,vertical_spread,0,10,0.0
GS,20260429,frozen,call,20,1,201,convexity,0,9,0.0
GS,20260429,frozen,call,20,1,401,bounds,0,11,0.0
GS,20260429,frozen,call,20,1,401,monotonicity,0,10,0.0
GS,20260429,frozen,call,20,1,401,vertical_spread,0,10,0.0
GS,20260429,frozen,call,20,1,401,convexity,0,9,0.0
GS,20260429,frozen,put,10,2,201,bounds,0,11,0.0
GS,20260429,frozen,put,10,2,201,monotonicity,0,10,0.0
GS,20260429,frozen,put,10,2,201,vertical_spread,0,10,0.0
GS,20260429,frozen,put,10,2,201,convexity,0,9,0.0
GS,20260429,frozen,put,10,2,401,bounds,0,11,0.0
GS,20260429,frozen,put,10,2,401,monotonicity,0,10,0.0
GS,20260429,frozen,put,10,2,401,vertical_spread,0,10,0.0
GS,20260429,frozen,put,10,2,401,convexity,0,9,0.0
GS,20260429,frozen,call,10,2,201,bounds,0,11,0.0
GS,20260429,frozen,call,10,2,201,monotonicity,0,10,0.0
GS,20260429,frozen,call,10,2,201,vertical_spread,0,10,0.0
